order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
3935,BFD,5.1351,480,0.814,100.0,72.35,87.25,210.11,39024,,,,,,
3935,BNB,1930.5254,0,0.0,0.0,,0.0,-1.0,114973,6.0,0.0,15750.0,444117.0,5388130.0,5848003.0
3935,FFD,0.094,1399,0.263,100.0,24.82,28.95,657.14,2323,,,,,,
3935,RANDOM,1.2151,1372,0.241,87.18,19.56,37.04,527.73,10528,,,,,,
3936,BFD,3.1669,688,0.84,100.0,77.42,86.63,314.89,25338,,,,,,
3936,BNB,4.4836,0,0.0,0.0,,0.0,-1.0,130,0.0,0.0,58.0,467.0,3278.0,3803.0
3936,FFD,0.0987,1385,0.41,100.0,38.46,42.73,646.24,2661,,,,,,
3936,RANDOM,4.5317,920,0.264,48.72,22.74,31.39,386.75,40372,,,,,,
3937,BFD,3.1316,665,0.848,100.0,72.16,89.79,274.09,23166,,,,,,
3937,BNB,1106.1982,665,0.847,100.0,72.16,91.46,274.59,67197,9155.0,1195.0,14014.0,203019.0,2670622.0,2898005.0
3937,FFD,0.0987,1371,0.375,100.0,35.0,39.46,636.17,2361,,,,,,
3937,RANDOM,0.1415,1345,0.418,100.0,35.68,58.29,556.53,3196,,,,,,
3938,BFD,3.4625,550,0.888,100.0,79.84,94.04,244.11,24906,,,,,,
3938,BNB,482.2077,0,0.0,0.0,,0.0,-1.0,34480,13683.0,2772.0,11470.0,44180.0,1101417.0,1173522.0
3938,FFD,0.0479,1397,0.332,100.0,31.43,33.71,659.45,1041,,,,,,
3938,RANDOM,1.4188,1385,0.31,79.49,23.16,44.38,458.89,17720,,,,,,
3939,BFD,2.8551,540,0.84,100.0,74.2,90.58,234.26,29892,,,,,,
3939,BNB,9792.3,510,0.883,100.0,78.56,93.84,223.28,573007,28008.0,4525.0,122319.0,2007004.0,25522443.0,27684299.0
3939,FFD,0.0574,1395,0.309,100.0,28.72,31.99,645.16,1355,,,,,,
3939,RANDOM,0.4531,1390,0.335,94.87,27.33,50.99,537.65,6107,,,,,,
3940,BFD,3.3823,685,0.868,100.0,76.66,92.92,297.42,30690,,,,,,
3940,BNB,7343.1645,685,0.846,100.0,76.66,91.43,307.25,320416,15533.0,1020.0,65862.0,1133022.0,12081157.0,13296594.0
3940,FFD,0.1081,1371,0.399,100.0,38.3,40.4,657.4,2985,,,,,,
3940,RANDOM,2.8774,1355,0.297,64.1,22.99,41.38,480.86,32277,,,,,,
3941,BFD,6.3654,460,0.898,100.0,79.42,96.65,200.0,53544,,,,,,
3941,BNB,49485.1222,440,0.906,100.0,83.03,93.32,199.84,4902143,1089938.0,187596.0,954028.0,12266789.0,298505637.0,313003988.0
3941,FFD,0.0839,1399,0.28,100.0,26.11,28.87,647.98,2598,,,,,,
3941,RANDOM,1.0092,1372,0.258,87.18,22.13,49.06,572.29,10898,,,,,,
3942,BFD,2.9306,323,0.834,100.0,73.19,92.35,138.98,30666,,,,,,
3942,BNB,18393.458,280,0.909,100.0,84.43,92.94,129.2,1423152,146731.0,1559.0,200049.0,4751009.0,94057198.0,99156546.0
3942,FFD,0.0978,1385,0.198,100.0,17.07,21.41,580.95,2219,,,,,,
